# Per-qubit One-frequencies at width 16, 1000 shots, seed 42, depth 8, theta 0.30.
# source_sha: 5b124bde08635834e85f1fb66458fcf180db2b81
# Recorded by run.py phase-1-correctness; see DEMO.md section 5.1.
qubit,cpu,mps
0,0.551,0.557
1,0.380,0.399
2,0.354,0.359
3,0.364,0.365
4,0.364,0.365
5,0.377,0.379
6,0.378,0.393
7,0.551,0.560
8,0.478,0.455
9,0.601,0.597
10,0.644,0.623
11,0.632,0.618
12,0.627,0.627
13,0.613,0.633
14,0.575,0.589
15,0.448,0.442
